8245,3972,5.9,1.9,5,4
8245,2869,6.5,7.1,5,2
8245,3638,6,2,5.8,3
8249,3522,6.7,7.6,2.3,2
8249,2763,7.8,5,5,3
8249,2764,7.3,6.3,3.7,2
8249,2773,7.9,5.7,5,3
8254,1269,8.6,8.6,8.6,2
8254,1387,9,9,1,3
8254,3661,5,5,7.2,4
8254,3797,5,5,5,4
8254,1672,6.2,4.3,5.9,3
8254,3835,5,5,5,4
8260,2433,8.9,7.7,1.4,2
8260,2442,3.3,2.8,3.3,5
8260,2421,2.5,4,5,6
8260,3968,5,6.2,5,4
8263,1712,5.8,5.3,5,4
8263,3441,3.5,5.5,4.2,5
8263,3434,2.6,1.4,1,5
8263,3453,8.1,7.2,6.5,3
8268,524,6.1,4.3,6.1,3
8268,525,5.9,5,5,3
8268,526,5,5,3.6,4
8268,655,8.2,7.1,7,3
8275,537,7.2,7,3,2
8275,538,5.5,4.1,4,3
8275,528,5,4,5,4
8275,589,8.6,7.3,5.8,3
8277,1896,6.2,6.7,8.3,1
8277,2979,6.1,5,5,3
8277,1573,6,6,6.2,3
8277,3632,5,3.2,6.8,4
8280,583,4.4,3.4,3.4,5
8280,581,5.6,3.8,3.9,3
8280,560,5,5,5,6
8280,616,4.2,3.1,5,4
8280,591,5,6.2,5,3
8281,3773,6.2,3.5,5,2
8281,655,6.7,6,5,3
8281,2889,7,7.5,7.2,2
8281,2885,7.3,7.5,7.5,4
8282,528,7.1,6,5,3
8282,540,7.5,8,5,1
8282,504,5,5,5,4
8282,541,5.6,4.3,5,3
8282,583,8.9,8.8,3.6,1
8283,2326,6.3,5.9,5,3
8283,2747,6.7,5,5,4
8283,589,7.6,7,6.9,3
8283,665,8.6,7.7,3,2
8286,2543,5.5,5.6,5,3
8286,2520,5,2.7,2.8,4
8286,2566,5,4.1,4.1,4
8286,586,6.7,7.1,5.4,1
8296,2128,5.8,6.3,4.1,4
8296,2139,6.6,6.2,4.4,3
8296,2196,7.6,6.8,6.5,5
8296,3564,7.4,5.9,5,1
8305,3971,7.5,1,5,2
8305,1290,5.9,1.4,5,3
8305,666,5,5.2,5.2,4
8305,3649,6.9,2,7.8,3
8313,3749,8.3,8.3,2.4,1
8313,569,7.2,2.2,5,2
8313,570,8.5,8.5,2.2,1
8313,612,6.9,5.8,7.1,2
